ID,LevelFormat,TrueXPCost,TrueMaterial1,TrueMaterialCount1,TrueMaterial2,TrueMaterialCount2,TrueMaterial3,TrueMaterialCount3,TrueMaterial4,TrueMaterialCount4,TrueMaterial5,TrueMaterialCount5,TalentNP,UltraXPCost,UltraMaterial1,UltraMaterialCount1,UltraMaterial2,UltraMaterialCount2,UltraMaterial3,UltraMaterialCount3,UltraMaterial4,UltraMaterialCount4,UltraMaterial5,UltraMaterialCount5,UltraTalentNP
30,,500000,green_fruit,4,purple_fruit,2,blue_fruit,1,yellow_fruit,1,epic_fruit,1,125-125-125-125-125,,,,,,,,,,,,
31,,500000,green_fruit,4,purple_fruit,1,red_fruit,1,yellow_fruit,2,elder_fruit,1,165-165-125-125-125,,,,,,,,,,,,
32,,500000,purple_fruit,2,red_fruit,4,blue_fruit,1,yellow_fruit,1,epic_fruit,1,75-75-125-125-125,,,,,,,,,,,,
33,,500000,green_fruit,4,purple_fruit,1,red_fruit,2,blue_fruit,1,epic_fruit,1,125-125-125-75-125,,,,,,,,,,,,
34,,1000000,green_fruit,7,purple_fruit,7,red_fruit,6,blue_fruit,7,epic_fruit,2,175-175-175-175-175,,,,,,,,,,,,150-285-285
35,,500000,green_fruit,2,purple_fruit,2,red_fruit,2,blue_fruit,2,epic_fruit,1,125-165-165-125-125,,,,,,,,,,,,
36,,500000,green_fruit,4,red_fruit,1,blue_fruit,2,yellow_fruit,1,epic_fruit,1,165-125-125-125-125,,,,,,,,,,,,
37,,200000,purple_seed,2,red_seed,3,yellow_seed,3,blue_fruit,1,green_fruit,1,75-75-75-75-75,,,,,,,,,,,,
38,,200000,green_seed,2,purple_seed,1,red_seed,3,yellow_seed,2,blue_fruit,2,95-75-75-75-75,,,,,,,,,,,,
39,,500000,green_fruit,1,red_fruit,4,blue_fruit,1,yellow_fruit,2,epic_fruit,1,125-125-125-125-125,,,,,,,,,,,,
40,,500000,green_fruit,1,red_fruit,4,blue_fruit,1,yellow_fruit,2,epic_fruit,1,165-125-125-125-125,,,,,,,,,,,,
41,,200000,green_seed,3,purple_seed,2,yellow_seed,3,red_fruit,1,blue_fruit,1,95-50-75-75-75,,,,,,,,,,,,
42,,1000000,purple_fruit,4,red_fruit,8,blue_fruit,3,yellow_fruit,6,epic_fruit,4,235-175-100-175-175,,,,,,,,,,,,285-285-150
43,,1000000,purple_fruit,4,red_fruit,7,blue_fruit,7,yellow_fruit,3,epic_fruit,4,235-100-175-175-175,,,,,,,,,,,,225-150-285
44,,1000000,green_fruit,5,purple_fruit,7,red_fruit,5,yellow_fruit,7,epic_fruit,3,235-175-175-175-175,,,,,,,,,,,,
45,Serial,,,,,,,,,,,,,,,,,,,,,,,,
46,,200000,purple_seed,3,blue_seed,2,yellow_seed,3,green_fruit,1,red_fruit,1,25-75-75-75-75,,,,,,,,,,,,
47,,200000,green_seed,2,purple_seed,3,blue_seed,2,yellow_seed,1,red_fruit,2,50-75-50-75-75,,,,,,,,,,,,
48,,200000,green_seed,3,purple_seed,2,blue_seed,2,yellow_seed,1,red_fruit,2,95-75-50-75-75,,,,,,,,,,,,
49,,200000,green_seed,3,red_seed,3,blue_seed,2,green_fruit,1,purple_fruit,1,95-50-75-75-75,,,,,,,,,,,,
50,,200000,purple_seed,1,red_seed,2,blue_seed,2,yellow_seed,3,green_fruit,2,95-75-95-50-75,,,,,,,,,,,,
51,,200000,purple_seed,1,red_seed,3,blue_seed,2,yellow_seed,2,green_fruit,2,75-75-50-75-75,,,,,,,,,,,,
52,,200000,green_fruit,2,purple_seed,3,red_seed,2,blue_seed,2,yellow_seed,1,95-50-75-75-75,,,,,,,,,,,,
53,GachaRare,,,,,,,,,,,,,,,,,,,,,,,,
54,GachaSR,,,,,,,,,,,,,,,,,,,,,,,,
55,,200000,green_seed,3,purple_seed,2,blue_seed,2,yellow_seed,1,red_fruit,2,75-95-50-75-75,,,,,,,,,,,,
56,,200000,purple_seed,1,red_seed,2,blue_seed,3,yellow_seed,2,green_fruit,2,50-50-75-75-75,,,,,,,,,,,,
57,,1000000,green_fruit,4,purple_fruit,5,blue_fruit,4,yellow_fruit,4,epic_fruit,3,235-100-100-175-175,,,,,,,,,,,,
58,,200000,green_seed,3,purple_seed,2,blue_seed,2,yellow_seed,1,red_fruit,2,75-50-75-75-75,,,,,,,,,,,,
59,,1000000,green_fruit,6,red_fruit,3,blue_fruit,6,yellow_fruit,4,epic_fruit,4,235-175-100-175-175,2000000,blue_gem,1,green_gem,1,green_fruit,10,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,
61,,500000,green_fruit,1,purple_fruit,2,red_fruit,4,yellow_fruit,1,epic_fruit,1,125-125-125-125-125,,,,,,,,,,,,
62,Serial,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,
65,PrincessCow,,,,,,,,,,,,,,,,,,,,,,,,
66,PPT48,1000000,epic_fruit,3,,,,,,,,,100-100-175-175-175,,,,,,,,,,,,
67,,200000,purple_seed,2,blue_seed,1,yellow_seed,1,,,,,,,,,,,,,,,,,
68,GachaRare,500000,purple_fruit,3,,,,,,,,,,,,,,,,,,,,,
69,Advent,,,,,,,,,,,,,,,,,,,,,,,,
70,Salary,,,,,,,,,,,,,,,,,,,,,,,,
71,,1000000,purple_fruit,8,red_fruit,4,blue_fruit,5,yellow_fruit,3,epic_fruit,4,235-175-175-175-175,,,,,,,,,,,,
72,,1000000,green_fruit,3,purple_fruit,8,red_fruit,4,blue_fruit,6,epic_fruit,4,175-175-175-175-175,,,,,,,,,,,,
73,,1000000,green_fruit,6,purple_fruit,8,blue_fruit,4,yellow_fruit,3,epic_fruit,4,235-175-100-175-175,2000000,blue_gem,1,red_gem,1,purple_gem,1,aku_fruit,3,,,
74,Salary,,,,,,,,,,,,,,,,,,,,,,,,
75,,1000000,green_fruit,8,purple_fruit,4,red_fruit,2,yellow_fruit,5,epic_fruit,4,235-235-100-175-175,2000000,green_gem,2,yellow_stone,5,gold_fruit,1,,,,,
76,,1000000,purple_fruit,4,red_fruit,8,blue_fruit,3,yellow_fruit,4,epic_fruit,4,235-175-100-175-175,,,,,,,,,,,,
77,Adult,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,
79,Adult,,,,,,,,,,,,,,,,,,,,,,,,
80,Evil,,,,,,,,,,,,,,,,,,,,,,,,
81,Evil,,,,,,,,,,,,,,,,,,,,,,,,
82,Serial,,,,,,,,,,,,,,,,,,,,,,,,
83,,1000000,green_fruit,7,purple_fruit,3,blue_fruit,3,yellow_fruit,4,epic_fruit,3,235-100-100-175-175,,,,,,,,,,,,150-150-150
84,,1000000,green_fruit,8,purple_fruit,3,blue_fruit,4,yellow_fruit,4,epic_fruit,4,175-235-100-175-175,,,,,,,,,,,,225-150-150
85,,1000000,green_fruit,3,purple_fruit,8,blue_fruit,3,yellow_fruit,5,epic_fruit,4,175-100-100-175-175,,,,,,,,,,,,
86,,1000000,purple_fruit,4,red_fruit,8,blue_fruit,3,yellow_fruit,3,epic_fruit,3,100-100-175-175-175,,,,,,,,,,,,150-225-225
87,,1000000,green_fruit,4,red_fruit,8,blue_fruit,3,yellow_fruit,3,epic_fruit,3,235-100-175-175-175,,,,,,,,,,,,150-150-150
88,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,
91,CrazedCat,,,,,,,,,,,,,,,,,,,,,,,,
92,CrazedTank,,,,,,,,,,,,,,,,,,,,,,,,
93,CrazedAxe,,,,,,,,,,,,,,,,,,,,,,,,
94,CrazedGross,,,,,,,,,,,,,,,,,,,,,,,,
95,CrazedCow,,,,,,,,,,,,,,,,,,,,,,,,
96,CrazedBird,,,,,,,,,,,,,,,,,,,,,,,,
97,CrazedFish,,,,,,,,,,,,,,,,,,,,,,,,
98,CrazedLizard,,,,,,,,,,,,,,,,,,,,,,,,
99,CrazedTitan,,,,,,,,,,,,,,,,,,,,,,,,
