ID,LevelFormat,TrueXPCost,TrueMaterial1,TrueMaterialCount1,TrueMaterial2,TrueMaterialCount2,TrueMaterial3,TrueMaterialCount3,TrueMaterial4,TrueMaterialCount4,TrueMaterial5,TrueMaterialCount5,TalentNP,UltraXPCost,UltraMaterial1,UltraMaterialCount1,UltraMaterial2,UltraMaterialCount2,UltraMaterial3,UltraMaterialCount3,UltraMaterial4,UltraMaterialCount4,UltraMaterial5,UltraMaterialCount5,UltraTalentNP
227,,200000,purple_stone,20,green_stone,15,yellow_stone,1,,,,,,,,,,,,,,,,,
228,,500000,green_fruit,5,purple_fruit,5,red_fruit,5,blue_fruit,5,yellow_fruit,5,,,,,,,,,,,,,
229,,,,,,,,,,,,,,,,,,,,,,,,,
230,,,,,,,,,,,,,,,,,,,,,,,,,
231,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
232,,,,,,,,,,,,,,,,,,,,,,,,,
233,,,,,,,,,,,,,,,,,,,,,,,,,
234,,,,,,,,,,,,,,,,,,,,,,,,,
235,,,,,,,,,,,,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,,,,,,,,,,,,
237,,500000,red_seed,1,epic_fruit,5,,,,,,,,,,,,,,,,,,,
238,,500000,yellow_seed,1,epic_fruit,5,,,,,,,,,,,,,,,,,,,
239,,500000,blue_seed,1,epic_fruit,5,,,,,,,,,,,,,,,,,,,
240,,1000000,purple_fruit,5,red_fruit,5,blue_fruit,6,yellow_fruit,5,epic_fruit,2,235-100-175-175-175,,,,,,,,,,,,
241,,1000000,blue_fruit,3,yellow_fruit,3,epic_fruit,3,,,,,,,,,,,,,,,,,
242,,,,,,,,,,,,,,,,,,,,,,,,,
243,,,,,,,,,,,,,,,,,,,,,,,,,
244,Salary,,,,,,,,,,,,,,,,,,,,,,,,
245,LilGross,,,,,,,,,,,,165-125-125-125-125,,,,,,,,,,,,
246,LilCow,,,,,,,,,,,,165-125-75-125-125,,,,,,,,,,,,
247,LilBird,,,,,,,,,,,,75-75-165-125-125,,,,,,,,,,,,
248,BadCollab,20000,green_seed,5,purple_seed,5,red_seed,5,,,,,,,,,,,,,,,,,
249,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
250,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
251,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
252,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
253,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
254,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
255,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
256,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
257,,1000000,yellow_fruit,5,epic_seed,1,,,,,,,175-175-100-175-175,,,,,,,,,,,,150-285
258,,1000000,red_fruit,5,epic_seed,1,,,,,,,235-100-235-175-175,,,,,,,,,,,,225-225-285
259,,1000000,blue_fruit,5,epic_seed,1,,,,,,,235-175-175-175-175,,,,,,,,,,,,225-225
260,,,,,,,,,,,,,,,,,,,,,,,,,
261,,1000000,green_fruit,2,purple_fruit,3,red_fruit,4,blue_fruit,8,epic_fruit,3,100-235-175-175-175,,,,,,,,,,,,150-225-150
262,WhoCares,,,,,,,,,,,,,,,,,,,,,,,,
263,BadEvents,,,,,,,,,,,,,,,,,,,,,,,,
264,BadEvents,,,,,,,,,,,,,,,,,,,,,,,,
265,BadEvents,,,,,,,,,,,,,,,,,,,,,,,,
266,WhoCares,,,,,,,,,,,,,,,,,,,,,,,,
267,,,,,,,,,,,,,,,,,,,,,,,,,
268,UR,1000000,red_seed,10,red_fruit,10,epic_fruit,5,elder_fruit,1,,,,,,,,,,,,,,,
269,,,,,,,,,,,,,,,,,,,,,,,,,
270,,1000000,purple_fruit,3,red_fruit,3,epic_fruit,1,,,,,175-175-235-175-175,,,,,,,,,,,,
271,,1000000,red_fruit,5,epic_seed,1,,,,,,,100-235-235-175-175,,,,,,,,,,,,
272,,1000000,green_fruit,5,epic_seed,1,,,,,,,175-175-100-175-175,,,,,,,,,,,,225-150-150
273,,,,,,,,,,,,,,,,,,,,,,,,,
274,,,,,,,,,,,,,,,,,,,,,,,,,
275,,1000000,purple_fruit,4,yellow_fruit,4,epic_fruit,3,,,,,,,,,,,,,,,,,
276,,500000,gold_seed,1,red_fruit,3,blue_fruit,3,yellow_fruit,3,epic_fruit,3,,,,,,,,,,,,,
277,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
278,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
279,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
280,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
281,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
282,,200000,red_stone,20,green_stone,15,yellow_stone,1,,,,,,,,,,,,,,,,,
283,,1000000,red_fruit,15,epic_fruit,1,,,,,,,235-235-100-175-175,,,,,,,,,,,,
284,,,,,,,,,,,,,,,,,,,,,,,,,
285,Borger,,,,,,,,,,,,,,,,,,,,,,,,
286,,1000000,green_fruit,15,epic_fruit,1,,,,,,,235-235-100-175-175,,,,,,,,,,,,
287,,,,,,,,,,,,,,,,,,,,,,,,,
288,,1000000,green_fruit,6,epic_fruit,3,elder_fruit,1,,,,,,,,,,,,,,,,,
289,,1000000,purple_fruit,3,red_fruit,3,epic_fruit,3,aku_fruit,1,,,,,,,,,,,,,,,
290,,,,,,,,,,,,,,,,,,,,,,,,,
291,,,,,,,,,,,,,,,,,,,,,,,,,
292,,,,,,,,,,,,,,,,,,,,,,,,,
293,,,,,,,,,,,,,,,,,,,,,,,,,
294,,,,,,,,,,,,,,,,,,,,,,,,,
295,,,,,,,,,,,,,,,,,,,,,,,,,
296,,,,,,,,,,,,,,,,,,,,,,,,,
297,,,,,,,,,,,,,,,,,,,,,,,,,
298,,,,,,,,,,,,,,,,,,,,,,,,,
299,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
